company_id,company_name,industry,country,company_size,annual_revenue,domain,person_id,person_name,job_title,email,phone
9b2b2062,Company67 Pvt Ltd,Mktg,UK,,8000000,company67.solutions,c13ced08,Ravi Iyer,Financial Analyst,ravi.iyer@company67.solutions,9178806762
b1118d86,Company475 Pvt Ltd,Mktg,UK,100,,company475.group,b5676227,Kiran Patel,Developer,kiran.patel@company475.group,8286932278
82333a85,Company217 Co,Marketing,USA,20,,company217.tech,aa3a0885,David Kumar,Finance Analyst,david.kumar@company217.tech,8182354462
c2a7cef3,Company17 Private Limited,Power Systems,Germany,20,3000000,company17.tech,ac02bbef,Ravi Iyer,Support Engineer,raviiyer@company17tech,7782458358
41101f5c,Company69 Co,Power Systems,India,,5000000,company69.corp,40defb51,Sneha Iyer,Marketng Mngr,,9188491706
07b53cfc,Company148 Co,Supply Chain,India,100,,company148.solutions,f13b5d50,David Patel,Operations Manager,david.patel@company148.solutions,8855489944
bc44aae4,Company233 Pvt Ltd,Artificial Intelligence,UK,50,8000000,company233.systems,25972b31,Sneha Iyer,Business Development Exec,,8903522344
07262b5c,Company331 Corp,Energy,India,100,3000000,company331.systems,85641e8a,David Smith,Operations Manager,david.smith@company331.systems,
c19675fb,Company105 Private Limited,Digital Marketing,UK,20,,company105.group,91324e6a,David Iyer,Marketng Mngr,david.iyer@company105.group,7915757665
44a8a2ec,Company201 Pvt Ltd,Supply Chain,Singapore,,3000000,company201.solutions,ee09b7cf,Sneha Kumar,Software Engineer,sneha.kumar@company201.solutions,9278048582
8c6e3b4a,Company45 Pvt Ltd,Manufacturing,Germany,,5000000,company45.tech,06e2be85,Ravi Smith,Growth Manager,,
962696d8,Company126 Pvt Ltd,Marketing,Germany,20,,company126.corp,37c65d2c,Kiran Kumar,Security Analyst,kiran.kumar@company126.corp,
2e6072cf,Company6 Corp,EdTech,Singapore,20,12000000,company6.systems,d48043ab,Ravi Patel,Backend Engineer,ravi.patel@company6.systems,
9f31724b,Company52 Corp,IT Services,Singapore,20,5000000,company52.systems,12663880,Kiran Sharma,Sales Executive,kiran.sharma@company52.systems,9034848987
1b013c63,Company438 Corp,AI & ML,UK,100,12000000,company438.corp,2fc410ed,Kiran Lee,Finance Analyst,kiran.lee@company438.corp,8128955415
836dbb1a,Company62 Pvt Ltd,Fin Tech,UK,50,8000000,company62.corp,bd3ffb2b,Anita Lee,Accounts Manager,anita.lee@company62.corp,
6bc50700,Company426 Pvt Ltd,Mfg,USA,50,12000000,company426.corp,b5ca1335,John Smith,Support Engineer,john.smith@company426.corp,8354403549
5b1dc320,Company188 Pvt Ltd,Digital Marketing,USA,50,12000000,company188.group,62cd2603,Sneha Iyer,Finance Analyst,sneha.iyer@company188.group,
e929ff5a,Company231 Corp,Fintech,Singapore,100,3000000,company231.corp,0bf3cfd5,John Kumar,Project Manager,john.kumar@company231.corp,8755730126
f155bc6b,Company381 Pvt Ltd,Supply Chain,Singapore,50,3000000,company381.tech,74bafc36,Sneha Sharma,Legal Advisor,snehasharma@company381tech,8962326398
558f25d5,Company298 Private Limited,Mktg,USA,50,12000000,company298.solutions,006ce34f,Priya Smith,Human Resources Manager,,
ee58b528,Company92 Co,Machine Learning,Singapore,,5000000,company92.group,929748af,David Smith,ML Engineer,david.smith@company92.group,
9b2b2062,Company67 Pvt Ltd,Mktg,UK,,8000000,company67.solutions,a8211c4b,Sneha Sharma,Developer,sneha.sharma@company67.solutions,
9cdae830,Company80 Pvt Ltd,SCM,Germany,50,12000000,company80.group,9da34a87,Sneha Kumar,Backend Engineer,sneha.kumar@company80.group,8890228626
fa95d1b7,Company336 Co,Health Care,Germany,,12000000,company336.group,acaacfc9,Arjun Sharma,Software Engineer,,
592fde04,Company347 Pvt Ltd,Digital Marketing,Germany,200,3000000,company347.systems,38ed07ba,Sneha Lee,Security Analyst,sneha.lee@company347.systems,9546659061
03eaadf1,Company445 Private Limited,Logistics,Germany,200,,company445.tech,c0345e0a,Ravi Lee,Developer,ravi.lee@company445.tech,9832179768
389e7907,Company463 Co,E-Commerce,Singapore,,12000000,company463.corp,c9e073c7,Arjun Patel,Sales Exec,arjun.patel@company463.corp,
2aa548e7,Company271 Private Limited,Financial Services,UK,20,,company271.corp,10fbefcd,John Kumar,AI Engineer,john.kumar@company271.corp,
43d0d557,Company174 Co,Digital Marketing,USA,,8000000,company174.corp,b2c24455,Kiran Patel,S/W Engg,,9747184197
6099b0c3,Company10 Corp,Fintech,UK,50,8000000,company10.systems,bb63f573,John Kumar,Project Manager,john.kumar@company10.systems,
e7f40470,Company100 Pvt Ltd,Manufacturing,USA,,5000000,company100.tech,bc452189,Arjun Sharma,S/W Engg,arjun.sharma@company100.tech,7317779325
cb9694f4,Company48 Co,Finance,UK,100,3000000,company48.corp,852a8f58,Anita Iyer,Legal Advisor,anita.iyer@company48.corp,
50038f51,Company26 Co,Marketing,Singapore,50,12000000,company26.solutions,e73fd524,Priya Sharma,Sales Exec,priya.sharma@company26.solutions,
e560ff90,Company288 Pvt Ltd,Artificial Intelligence,UK,50,3000000,company288.group,5fd5c600,Ravi Iyer,Sales Exec,ravi.iyer@company288.group,9347565316
6039a883,Company392 Private Limited,Tech Services,UK,,,company392.corp,0d762102,David Iyer,Finance Analyst,david.iyer@company392.corp,
ef0d242c,Company295 Corp,Renewable Energy,USA,50,3000000,company295.tech,635cf32d,Anita Smith,Accounts Manager,,7292074547
971a60b2,Company496 Private Limited,Supply Chain,India,100,3000000,company496.tech,ea10aa15,Anita Iyer,Marketng Mngr,anita.iyer@company496.tech,
be7943ba,Company220 Pvt Ltd,Financial Services,USA,20,3000000,company220.group,c1345ff1,John Sharma,Software Engineer,,
8cfdab76,Company41 Corp,SCM,UK,,12000000,company41.corp,0d2ab598,Anita Patel,S/W Engg,anita.patel@company41.corp,9910565317
9f31724b,Company52 Corp,IT Services,Singapore,20,5000000,company52.systems,34a6fbce,Ravi Sharma,Sales Exec,ravi.sharma@company52.systems,
d0fce93d,Company223 Co,Mktg,UK,200,,company223.group,01c5fc83,Priya Sharma,Data Scientist,,8764282168
b2205e2d,Company286 Co,Logistics,USA,100,12000000,company286.corp,2522aa66,Arjun Lee,Software Engineer,arjun.lee@company286.corp,
68114fa3,Company230 Co,Machine Learning,UK,200,3000000,company230.tech,8117dae7,John Iyer,Customer Support Exec,john.iyer@company230.tech,7069583920
dadac8f5,Company419 Private Limited,Artificial Intelligence,India,50,,company419.systems,81547a87,Kiran Smith,Ops Lead,kiran.smith@company419.systems,8404755006
3f538a37,Company409 Pvt Ltd,IT service,Singapore,,8000000,company409.systems,e74a3d81,Sneha Iyer,Backend Engineer,sneha.iyer@company409.systems,
b8dc2a8c,Company396 Co,Manufacturing,Singapore,100,12000000,company396.systems,7.90E+58,Arjun Patel,Product Owner,arjun.patel@company396.systems,
19ebed77,Company140 Pvt Ltd,Marketng,USA,,3000000,company140.group,79b43f2a,Sneha Patel,Accounts Manager,sneha.patel@company140.group,7376798590
bb9bcd89,Company99 Pvt Ltd,Tech Services,UK,20,3000000,company99.solutions,e67b0ad7,John Smith,Cybersecurity Engineer,john.smith@company99.solutions,7313891492
ff30ed7e,Company235 Private Limited,EdTech,UK,50,3000000,company235.solutions,d05a94a9,Ravi Iyer,Product Manager,ravi.iyer@company235.solutions,7653716836
97f3c6cf,Company435 Corp,Machine Learning,UK,20,8000000,company435.corp,e692e7e2,John Iyer,S/W Engg,,9782451009
48ee7531,Company31 Pvt Ltd,Medical Tech,India,100,3000000,company31.tech,eaeb7be6,David Kumar,S/W Engg,david.kumar@company31.tech,
6afabd57,Company427 Corp,Educational Services,India,20,8000000,company427.tech,7ec31343,Ravi Lee,Cybersecurity Engineer,ravi.lee@company427.tech,9678727040
34f14b1d,Company493 Pvt Ltd,Educational Services,UK,100,5000000,company493.tech,4998884f,Priya Lee,Finance Analyst,,7967355230
667824c4,Company268 Co,Mktg,UK,100,3000000,company268.solutions,cbfeaae7,Ravi Iyer,Product Owner,ravi.iyer@company268.solutions,7957305197
3.19E+27,Company183 Corp,Marketng,Germany,100,,company183.tech,65df7781,Priya Iyer,S/W Engg,priya.iyer@company183.tech,7860417440
f155bc6b,Company381 Pvt Ltd,Supply Chain,Singapore,50,3000000,company381.tech,e427cb53,Arjun Smith,Developer,arjun.smith@company381.tech,
7209e0d4,Company494 Pvt Ltd,Artificial Intelligence,UK,200,3000000,company494.solutions,7c4bffc4,David Sharma,Software Engineer,,
b4e73c76,Company440 Corp,Fin Tech,Germany,100,12000000,company440.systems,bce27489,Sneha Iyer,Marketng Mngr,snehaiyer@company440systems,
2b9b68ff,Company151 Co,Marketng,USA,200,3000000,company151.tech,eab63ceb,Arjun Lee,Accounts Manager,arjun.lee@company151.tech,7297499002
1c4eac58,Company322 Co,Educational Services,India,20,,company322.corp,ef317a05,Kiran Smith,Compliance Officer,kiran.smith@company322.corp,
74a0b542,Company314 Pvt Ltd,E-Commerce,USA,20,8000000,company314.corp,4b6821dd,Sneha Patel,Business Development Exec,sneha.patel@company314.corp,
5f173a61,Company499 Private Limited,AI & ML,USA,20,,company499.solutions,be7f401b,David Patel,Compliance Officer,david.patel@company499.solutions,
b4b4a97b,Company382 Co,Supply Chain,USA,50,3000000,company382.group,ca232493,Sneha Lee,Legal Advisor,,
dab0253b,Company485 Co,Marketing,India,,8000000,company485.corp,62940b83,Kiran Kumar,ML Engineer,kiran.kumar@company485.corp,
6bc50700,Company426 Pvt Ltd,Mfg,USA,50,12000000,company426.corp,03ee6dea,Kiran Patel,Data Scientist,kiran.patel@company426.corp,
e87c3034,Company84 Corp,Supply Chain,Singapore,200,,company84.group,411ee672,Kiran Kumar,Sales Executive,kiran.kumar@company84.group,
21e5b517,Company404 Private Limited,Renewable Energy,USA,20,,company404.group,a16e448b,David Patel,Product Owner,david.patel@company404.group,
a8c9993d,Company479 Corp,Logistics,USA,50,5000000,company479.group,bb8413bf,Sneha Sharma,Financial Analyst,,
7f1833c9,Company96 Co,Finance,Germany,20,8000000,company96.solutions,132c7aba,Anita Sharma,Support Engineer,anita.sharma@company96.solutions,8539274843
7b16ea60,Company376 Private Limited,Artificial Intelligence,Singapore,50,3000000,company376.solutions,fba4bc7d,Priya Kumar,Developer,priya.kumar@company376.solutions,7389944281
fc336136,Company447 Pvt Ltd,Educational Services,Singapore,20,3000000,company447.group,4958ae11,Sneha Kumar,Sales Executive,sneha.kumar@company447.group,
e929ff5a,Company231 Corp,Fintech,Singapore,100,3000000,company231.corp,f7fd512a,Anita Smith,Human Resources Manager,,8803946193
64bf5f90,Company460 Co,Logistics,Germany,50,5000000,company460.tech,3f3f45b5,Priya Iyer,Operations Manager,priyaiyer@company460tech,8547873743
